2021,2019,2015,2013,2010,2009,2008,2007,2005,2004
"(j) Rules to accommodate aggregation and interconnection of retail distributed generation, including:",,,,,,,,,
(I) Allowing electricity generated from a single renewable retail distributed generation resource on a multi-unit property to be allocated as net metering credits to either common areas of the property or to individually metered accounts without requiring the resource to be physically interconnected with each owner’s or lessee’s meter;,,,,,,,,,
"(II) Allowing a utility customer with retail distributed generation interconnected with a master meter to allocate excess net metering credits to any meter on property owned or leased by the customer in accordance with a customer-defined system share for each additional meter, with excess net metering credits applied to the additional meter;",,,,,,,,,
"(III) Where retail distributed generation is being used to offset the load of multiple, separately metered properties that are not on the same rate schedule, allowing allocation of the bill credits that may be applied to any of the metered accounts;",,,,,,,,,
(IV) Requiring qualifying retail utilities to apply the same installation standards and list of approved meter collar adapters developed pursuant to subsection (1)(e)(I)(A.5) of this section to all customers desiring to use retail distributed generation to offset their individual energy loads;,,,,,,,,,
"(V) Requiring qualifying retail utilities to develop optional programs and tariffs to support the adoption and use of dispatchable renewable distributed generation and storage resources to provide grid benefits, such as enhancing the efficiency, capacity, and resilience of the electric grid, and to reduce greenhouse gas emissions. As used in this subsection (1)(j)(V), “dispatchable” means that the power output supplied to the electric grid by a customer-sited renewable energy generation or storage facility can be turned on and off or otherwise adjusted on demand.",,,,,,,,,
"(VI) Requiring qualifying retail utilities to adopt procedures designed to ensure that, for all renewable distributed generation or storage facilities included in their net metering service:",,,,,,,,,
"(A) The size of any off-site, single-meter installation does not exceed five hundred kilowatts;",,,,,,,,,
"(B) The size of any off-site, multi-meter installation does not exceed three hundred kilowatts per meter; and",,,,,,,,,
"(C) For any off-site facility exceeding three hundred kilowatts, the installation and any necessary repair or maintenance work is performed by a licensed master electrician, licensed journeyman electrician, or licensed residential wireman or by properly supervised apprentices, in addition to complying with all applicable interconnection rules.",,,,,,,,,
"(1.5) Notwithstanding any provision of law to the contrary, subsections (1)(e) and (1)(j) of this section do not apply to a municipally owned utility or to a cooperative electric association.","(1.5) Notwithstanding any provision of law to the contrary, paragraph (e) of subsection (1) of this section shall not apply to a municipally owned utility or to a cooperative electric association.","(1.5) Notwithstanding any provision of law to the contrary, paragraph (e) of subsection (1) of this section shall not apply to a municipally owned utility or to a cooperative electric association.","(1.5) Notwithstanding any provision of law to the contrary, paragraph (e) of subsection (1) of this section shall not apply to a municipally owned utility or to a cooperative electric association.","(1.5) Notwithstanding any provision of law to the contrary, paragraph (e) of subsection (1) of this section shall not apply to a municipally owned utility or to a cooperative electric association.","(1.5) Notwithstanding any provision of law to the contrary, paragraph (e) of subsection (1) of this section shall not apply to a municipally owned utility or to a cooperative electric association.",,,,
"(2) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(2) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(2) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(2) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(2) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(2) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(2) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(2) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(2) The commission shall establish all rules called for in paragraphs (a) to (g) of 
subsection (1) of this section by March 31, 2006.","(2) The commission shall establish all rules called for in subsections (a) through (g) of
subsection (1) of this section by March 31, 2006."
"(3) Each municipally owned electric utility that is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility shall submit a statement to the commission that demonstrates such municipal utility has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility shall, at a minimum, meet the following criteria:","(3) Each municipally owned electric utility that is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility shall submit a statement to the commission that demonstrates such municipal utility has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility shall, at a minimum, meet the following criteria:","(3) Each municipally owned electric utility that is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility shall submit a statement to the commission that demonstrates such municipal utility has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility shall, at a minimum, meet the following criteria:","(3) Each municipally owned electric utility that is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility shall submit a statement to the commission that demonstrates such municipal utility has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility shall, at a minimum, meet the following criteria:","(3) Each municipally owned electric utility that is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility shall submit a statement to the commission that demonstrates such municipal utility has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility shall, at a minimum, meet the following criteria:","(3) Each municipally owned electric utility that is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility shall submit a statement to the commission that demonstrates such municipal utility has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility shall, at a minimum, meet the following criteria:","(3) Each municipally owned electric utility that is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility shall submit a statement to the commission that demonstrates such municipal utility has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility shall, at a minimum, meet the following criteria:","(3) Each municipally owned electric utility that is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility shall submit a statement to the commission that demonstrates such municipal utility has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility shall, at a minimum, meet the following criteria:","(3) Each municipally owned electric utility and each cooperative electric association that has voted to exempt itself from commission jurisdiction but is a qualifying retail utility shall implement a renewable energy standard substantially similar to this section. The municipally owned utility or cooperative electric association shall submit a statement to the commission that demonstrates such municipal utility or cooperative electric association has a substantially similar renewable energy standard. The statement submitted by the municipally owned utility or cooperative electric association is for informational purposes and is not subject to approval by the commission. Upon filing of the certification statement, the municipally owned utility or cooperative electric association shall have no further obligations under subsection (1) of this section. The renewable energy standard of a municipally owned utility or cooperative electric association shall, at a minimum, meet the following criteria:","(3) If a municipally owned electric utility or a rural electric cooperative implements a renewable energy standard substantially similar to this section. 40-2-124, then the governing body of the municipally owned electric utility or rural electric cooperative may self-certify its renewable energy standard and upon self-certification will have no obligations under this article. The municipally owned utility or cooperative shall submit a statement to the commission that demonstrates such utility or cooperative has a substantially similar renewable energy standard. In order for such utility or cooperative to self-certify, such renewable energy standard shall, at a minimum, meet the following criteria:
"
(a) The eligible energy resources shall be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible energy resources shall be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible energy resources shall be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible energy resources shall be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible energy resources shall be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible energy resources shall be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible energy resources shall be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible energy resources shall be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible renewable energy resources must be limited to those identified in paragraph (a) of subsection (1) of this section;,(a) The eligible renewable energy resources must be limited to those identified in subsection 40-2-124(1)(a)
"(b) The percentage requirements shall be equal to or greater in the same years than those identified in subparagraph (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by said paragraph (c); and","(b) The percentage requirements shall be equal to or greater in the same years than those identified in subparagraph (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by said paragraph (c); and","(b) The percentage requirements shall be equal to or greater in the same years than those identified in subparagraph (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by said paragraph (c); and","(b) The percentage requirements shall be equal to or greater in the same years than those identified in subparagraph (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by said paragraph (c); and","(b) The percentage requirements shall be equal to or greater in the same years than those identified in subparagraph (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by said paragraph (c); and","(b) The percentage requirements shall be equal to or greater in the same years than those identified in subparagraph (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by said paragraph (c); and","(b) The percentage requirements shall be equal to or greater in the same years than those identified in subparagraph (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by said paragraph (c); and","(b) The percentage requirements shall be equal to or greater in the same years than those identified in subparagraph (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by said paragraph (c); and","(b) The percentage requirements must be equal to or greater in the same years than those identified in subparagraph (I) (V) of paragraph (c) of subsection (1) of this section, counted in the manner allowed by subparagraph (III) of said paragraph (c); and",(b) The percentage requirements must be equal to or greater in the same years than those identified in subsection 40-2-124(1)(c)(I); and
(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.,(c) The utility must have an optional pricing program in effect that allows retail customers the option to support through utility rates emerging renewable energy technologies.
"(4) For municipal utilities that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (V) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:","(4) For municipal utilities that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (V) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:","(4) For municipal utilities that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (V) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:","(4) For municipal utilities that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (V) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:","(4) For municipal utilities that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (V) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:","(4) For municipal utilities that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (V) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:","(4) For municipal utilities that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (V) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:","(4) For municipal utilities that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (V) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:","(4) For municipal utilities and cooperative electric associations that become qualifying retail utilities after December 31, 2006, the percentage requirements identified in subparagraph (I) of paragraph (c) of subsection (1) of this section shall begin in the first calendar year following qualification as follows:",
(a) Years one through three: One percent of retail electricity sales;,(a) Years one through three: One percent of retail electricity sales;,(a) Years one through three: One percent of retail electricity sales;,(a) Years one through three: One percent of retail electricity sales;,(a) Years one through three: One percent of retail electricity sales;,(a) Years one through three: One percent of retail electricity sales;,(a) Years one through three: One percent of retail electricity sales;,(a) Years one through three: One percent of retail electricity sales;,(a) Years one through four: One percent of retail electricity sales;,
(b) Years four through seven: Three percent of retail electricity sales;,(b) Years four through seven: Three percent of retail electricity sales;,(b) Years four through seven: Three percent of retail electricity sales;,(b) Years four through seven: Three percent of retail electricity sales;,(b) Years four through seven: Three percent of retail electricity sales;,(b) Years four through seven: Three percent of retail electricity sales;,(b) Years four through seven: Three percent of retail electricity sales;,(b) Years four through seven: Three percent of retail electricity sales;,(b) Years five through eight: six percent of retail electricity sales; and,
(c) Years eight through twelve: Six percent of retail electricity sales; and,(c) Years eight through twelve: Six percent of retail electricity sales; and,(c) Years eight through twelve: Six percent of retail electricity sales; and,(c) Years eight through twelve: Six percent of retail electricity sales; and,(c) Years eight through twelve: Six percent of retail electricity sales; and,(c) Years eight through twelve: Six percent of retail electricity sales; and,(c) Years eight through twelve: Six percent of retail electricity sales; and,(c) Years eight through twelve: Six percent of retail electricity sales; and,(c) Year nine and thereafter: Ten percent of retail electricity sales.,
(d) Years thirteen and thereafter: Ten percent of retail electricity sales.,(d) Years thirteen and thereafter: Ten percent of retail electricity sales.,(d) Years thirteen and thereafter: Ten percent of retail electricity sales.,(d) Years thirteen and thereafter: Ten percent of retail electricity sales.,(d) Years thirteen and thereafter: Ten percent of retail electricity sales.,(d) Years thirteen and thereafter: Ten percent of retail electricity sales.,(d) Years thirteen and thereafter: Ten percent of retail electricity sales.,(d) Years thirteen and thereafter: Ten percent of retail electricity sales.,,
(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.,(5) Procedure for exemption and inclusion - election.
"(a) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(a) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(a) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(a) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(a) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(a) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(a) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(a) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(a) The board of directors of each qualifying retail utility or cooperative electric association subject to this section may, at its option, submit the question of its exemption from this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such exemption, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(a) The board of directors of each qualifying retail utility or cooperative electric association subject to section 40-2-124 may, at its option, submit the question of its exemption from section 40-2-124 CRS to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such exemption, providing that a minimum of twenty-five percent of eligible consumers participates in the election."
"(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility not subject to this section may, at its option, submit the question of its inclusion in this section to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.","(b) The board of directors of each municipally owned electric utility or rural electric cooperative not subject to THIS section 40-2-124 may, at its option, submit the question of its inclusion in section 40-2-124 CRS, to its consumers on a one meter equals one vote basis. Approval by a majority of those voting in the election shall be required for such inclusion, providing that a minimum of twenty-five percent of eligible consumers participates in the election.
"
"(5.5) Each cooperative electric association that is a qualifying retail utility shall submit an annual compliance report to the commission no later than June 1 of each year in which the cooperative electric association is subject to the renewable energy standard requirements established in this section. The annual compliance report shall describe the steps taken by the cooperative electric association to comply with the renewable energy standards and shall include the same information set forth in the rules of the commission for jurisdictional utilities. Cooperative electric associations shall not be subject to any part of the compliance report review process as provided in the rules for jurisdictional utilities. Cooperative electric associations shall not be required to obtain commission approval of annual compliance reports, and no additional regulatory authority of the commission other than that specifically contained in this subsection (5.5) is created or implied by this subsection (5.5).","(5.5) Each cooperative electric association that is a qualifying retail utility shall submit an annual compliance report to the commission no later than June 1 of each year in which the cooperative electric association is subject to the renewable energy standard requirements established in this section. The annual compliance report shall describe the steps taken by the cooperative electric association to comply with the renewable energy standards and shall include the same information set forth in the rules of the commission for jurisdictional utilities. Cooperative electric associations shall not be subject to any part of the compliance report review process as provided in the rules for jurisdictional utilities. Cooperative electric associations shall not be required to obtain commission approval of annual compliance reports, and no additional regulatory authority of the commission other than that specifically contained in this subsection (5.5) is created or implied by this subsection (5.5).","(5.5) Each cooperative electric association that is a qualifying retail utility shall submit an annual compliance report to the commission no later than June 1 of each year in which the cooperative electric association is subject to the renewable energy standard requirements established in this section. The annual compliance report shall describe the steps taken by the cooperative electric association to comply with the renewable energy standards and shall include the same information set forth in the rules of the commission for jurisdictional utilities. Cooperative electric associations shall not be subject to any part of the compliance report review process as provided in the rules for jurisdictional utilities. Cooperative electric associations shall not be required to obtain commission approval of annual compliance reports, and no additional regulatory authority of the commission other than that specifically contained in this subsection (5.5) is created or implied by this subsection (5.5).","(5.5) Each cooperative electric association that is a qualifying retail utility shall submit an annual compliance report to the commission no later than June 1 of each year in which the cooperative electric association is subject to the renewable energy standard requirements established in this section. The annual compliance report shall describe the steps taken by the cooperative electric association to comply with the renewable energy standards and shall include the same information set forth in the rules of the commission for jurisdictional utilities. Cooperative electric associations shall not be subject to any part of the compliance report review process as provided in the rules for jurisdictional utilities. Cooperative electric associations shall not be required to obtain commission approval of annual compliance reports, and no additional regulatory authority of the commission other than that specifically contained in this subsection (5.5) is created or implied by this subsection (5.5).","(5.5) Each cooperative electric association that is a qualifying retail utility shall submit an annual compliance report to the commission no later than June 1 of each year in which the cooperative electric association is subject to the renewable energy standard requirements established in this section. The annual compliance report shall describe the steps taken by the cooperative electric association to comply with the renewable energy standards and shall include the same information set forth in the rules of the commission for jurisdictional utilities. Cooperative electric associations shall not be subject to any part of the compliance report review process as provided in the rules for jurisdictional utilities. Cooperative electric associations shall not be required to obtain commission approval of annual compliance reports, and no additional regulatory authority of the commission other than that specifically contained in this subsection (5.5) is created or implied by this subsection (5.5).","(5.5) Each cooperative electric association that is a qualifying retail utility shall submit an annual compliance report to the commission no later than June 1 of each year in which the cooperative electric association is subject to the renewable energy standard requirements established in this section. The annual compliance report shall describe the steps taken by the cooperative electric association to comply with the renewable energy standards and shall include the same information set forth in the rules of the commission for jurisdictional utilities. Cooperative electric associations shall not be subject to any part of the compliance report review process as provided in the rules for jurisdictional utilities. Cooperative electric associations shall not be required to obtain commission approval of annual compliance reports, and no additional regulatory authority of the commission other than that specifically contained in this subsection (5.5) is created or implied by this subsection (5.5).","(5.5) Each cooperative electric association that is a qualifying retail utility shall submit an annual compliance report to the commission no later than June 1 of each year in which the cooperative electric association is subject to the renewable energy standard requirements established in this section. The annual compliance report shall describe the steps taken by the cooperative electric association to comply with the renewable energy standards and shall include the same information set forth in the rules of the commission for jurisdictional utilities. Cooperative electric associations shall not be subject to any part of the compliance report review process as provided in the rules for jurisdictional utilities. Cooperative electric associations shall not be required to obtain commission approval of annual compliance reports, and no additional regulatory authority of the commission other than that specifically contained in this subsection (5.5) is created or implied by this subsection (5.5).","(5.5) Each cooperative electric association that is a qualifying retail utility shall submit an annual compliance report to the commission no later than June 1 of each year in which the cooperative electric association is subject to the renewable energy standard requirements established in this section. The annual compliance report shall describe the steps taken by the cooperative electric association to comply with the renewable energy standards and shall include the same information set forth in the rules of the commission for jurisdictional utilities. Cooperative electric associations shall not be subject to any part of the compliance report review process as provided in the rules for jurisdictional utilities. Cooperative electric associations shall not be required to obtain commission approval of annual compliance reports, and no additional regulatory authority of the commission other than that specifically contained in this subsection (5.5) is created or implied by this subsection (5.5).",,
"(6) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(6) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(6) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(6) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(6) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(6) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(6) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(6) (Deleted by amendment, L. 2007, p. 257, § 1, effective March 27, 2007.)","(6) Section 3 of this initiated measure provides that this section and section 40-2-125 shall be effective December 1, 2004.","(6) Section 3 of this initiated measure provides that this section and section 40-2-125 shall be effective December 1, 2004."
-7,-7,-7,-7,-7,-7,-7,,,
"(a) Definitions. For purposes of this subsection (7), unless the context otherwise requires:","(a) Definitions. For purposes of this subsection (7), unless the context otherwise requires:","(a) Definitions. For purposes of this subsection (7), unless the context otherwise requires:","(a) Definitions. For purposes of this subsection (7), unless the context otherwise requires:","(a) Definitions. For purposes of this subsection (7), unless the context otherwise requires:","(a) Definitions. For purposes of this subsection (7), unless the context otherwise requires:","(a) Definitions. For purposes of this subsection (7), unless the context otherwise requires:",,,
(I) “Customer-generator” means an end-use electricity customer that generates electricity on the customer’s side of the meter using eligible energy resources.,(I) “Customer-generator” means an end-use electricity customer that generates electricity on the customer’s side of the meter using eligible energy resources.,(I) “Customer-generator” means an end-use electricity customer that generates electricity on the customer’s side of the meter using eligible energy resources.,(I) “Customer-generator” means an end-use electricity customer that generates electricity on the customer’s side of the meter using eligible energy resources.,(I) “Customer-generator” means an end-use electricity customer that generates electricity on the customer’s side of the meter using eligible energy resources.,(I) “Customer-generator” means an end-use electricity customer that generates electricity on the customer’s side of the meter using eligible energy resources.,(I) “Customer-generator” means an end-use electricity customer that generates electricity on the customer’s side of the meter using eligible energy resources.,,,
(II) “Municipally owned utility” means a municipally owned utility that serves five thousand customers or more.,(II) “Municipally owned utility” means a municipally owned utility that serves five thousand customers or more.,(II) “Municipally owned utility” means a municipally owned utility that serves five thousand customers or more.,(II) “Municipally owned utility” means a municipally owned utility that serves five thousand customers or more.,(II) “Municipally owned utility” means a municipally owned utility that serves five thousand customers or more.,(II) “Municipally owned utility” means a municipally owned utility that serves five thousand customers or more.,(II) “Municipally owned utility” means a municipally owned utility that serves five thousand customers or more.,,,
"(b) Each municipally owned utility shall allow a customer-generator’s retail electricity consumption to be offset by the electricity generated from eligible energy resources on the customer-generator’s side of the meter that are interconnected with the facilities of the municipally owned utility, subject to the following:","(b) Each municipally owned utility shall allow a customer-generator’s retail electricity consumption to be offset by the electricity generated from eligible energy resources on the customer-generator’s side of the meter that are interconnected with the facilities of the municipally owned utility, subject to the following:","(b) Each municipally owned utility shall allow a customer-generator’s retail electricity consumption to be offset by the electricity generated from eligible energy resources on the customer-generator’s side of the meter that are interconnected with the facilities of the municipally owned utility, subject to the following:","(b) Each municipally owned utility shall allow a customer-generator’s retail electricity consumption to be offset by the electricity generated from eligible energy resources on the customer-generator’s side of the meter that are interconnected with the facilities of the municipally owned utility, subject to the following:","(b) Each municipally owned utility shall allow a customer-generator’s retail electricity consumption to be offset by the electricity generated from eligible energy resources on the customer-generator’s side of the meter that are interconnected with the facilities of the municipally owned utility, subject to the following:","(b) Each municipally owned utility shall allow a customer-generator’s retail electricity consumption to be offset by the electricity generated from eligible energy resources on the customer-generator’s side of the meter that are interconnected with the facilities of the municipally owned utility, subject to the following:","(b) Each municipally owned utility shall allow a customer-generator’s retail electricity consumption to be offset by the electricity generated from eligible energy resources on the customer-generator’s side of the meter that are interconnected with the facilities of the municipally owned utility, subject to the following:",,,
